P135_COMBO_TABLE3,PRODUCT,SERIAL_NUM,TRANS_SEQ,OPERATION,SBR,PART_NUM,BIRTH_DATE,EVENT_DATE,TEST_DATE,SPC_ID,OCCURRENCE,SEQ,TEST_SEQ_EVENT,STATE_NAME,HD_PHYS_PSN,DATA_ZONE,TRK_NUM,HD_LGC_PSN,HTR_DAC,HTR_DAC_REF,DELTA_DAC,TEST_ITERATION,CNTCT_TEST_STAGE,MODE,TRIP_MASK,NORM_AGC,NORM_AGC_REF,STRESSED_RRO,LOCAL_REF_RRO,DETECTOR1,DETECTOR2,DETECTOR3,DETECTOR4,DETECTOR5,DETECTOR6,AC_DETCR,AC_DETCR_REF,ACTIVE_HEATER,INACTIVE_HEATER_DAC,IPD_LATE_DTCT,LFACH_AMP,IPD5_FIT_LFACH,LRDED_STDEV,IPD5_FIT_LRDED,IPD5_FIT_DED
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:32,301,24,1,1,PRODUCTION,0,16,128154,0,30,0,31,0,BSLN,H,0,187,216,0.0223,0.0121,0.000,0.000,0.000,42.875,0.000,0.000,0.000,0.000,R,0,0.000,42.875,42.875,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:32,301,24,1,1,PRODUCTION,0,16,128154,0,32,2,33,1,MAIN,H,0,187,213,0.0218,0.0117,0.000,0.000,0.000,42.739,0.000,0.000,0.000,0.000,R,0,0.000,42.739,42.739,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:32,301,24,1,1,PRODUCTION,0,16,128154,0,34,4,35,2,MAIN,H,0,183,213,0.0208,0.0128,0.000,0.000,0.000,42.911,0.000,0.000,0.000,0.000,R,0,0.000,42.911,42.911,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:32,301,24,1,1,PRODUCTION,0,16,128154,0,36,6,37,3,MAIN,H,0,183,211,0.0218,0.0124,0.000,0.000,0.000,44.676,0.000,0.000,0.000,0.000,R,0,0.000,44.676,44.676,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:32,301,24,1,1,PRODUCTION,0,16,128154,0,38,8,39,4,MAIN,H,0,180,208,0.0203,0.0105,0.000,0.000,0.000,47.118,0.000,0.000,0.000,0.000,R,0,0.000,47.118,47.118,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:32,301,24,1,1,PRODUCTION,0,16,128154,0,40,10,41,5,MAIN,H,0,177,206,0.0208,0.0110,0.000,0.000,0.000,49.008,0.000,0.000,0.000,0.000,R,0,0.000,49.008,49.008,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:32,301,24,1,1,PRODUCTION,0,16,128154,0,42,12,43,6,MAIN,H,0,176,204,0.0207,0.0123,0.000,0.000,0.000,48.516,0.000,0.000,0.000,0.000,R,0,0.000,48.516,48.516,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:32,301,24,1,1,PRODUCTION,0,16,128154,0,44,14,45,7,MAIN,H,0,175,202,0.0202,0.0113,0.000,0.000,0.000,51.075,0.000,0.000,0.000,0.000,R,0,0.000,51.075,51.075,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,35,0,-72,0,BSLN,W,0,182,206,0.0225,0.0117,0.000,0.000,0.000,65.604,0.000,0.000,0.000,0.000,W,0,0.000,65.604,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,38,3,-69,1,MAIN,W,0,179,203,0.0223,0.0111,0.000,0.000,0.000,64.481,0.000,0.000,0.000,0.000,W,0,0.000,64.481,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,41,6,-66,2,MAIN,W,0,177,200,0.0219,0.0119,0.000,0.000,0.000,65.439,0.000,0.000,0.000,0.000,W,0,0.000,65.439,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,44,9,-63,3,MAIN,W,0,175,198,0.0217,0.0110,0.000,0.000,0.000,66.414,0.000,0.000,0.000,0.000,W,0,0.000,66.414,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,47,12,-60,4,MAIN,W,0,173,196,0.0207,0.0101,0.000,0.000,0.000,65.401,0.000,0.000,0.000,0.000,W,0,0.000,65.401,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,50,15,-57,5,MAIN,W,0,171,196,0.0216,0.0125,0.000,0.000,0.000,64.565,0.000,0.000,0.000,0.000,W,0,0.000,64.565,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,53,18,-54,6,MAIN,W,0,170,193,0.0223,0.0101,0.000,0.000,0.000,63.763,0.000,0.000,0.000,0.000,W,0,0.000,63.763,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,56,21,-51,7,MAIN,W,0,168,189,0.0223,0.0114,0.000,0.000,0.000,61.269,0.000,0.000,0.000,0.000,W,0,0.000,61.269,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,59,24,-48,8,MAIN,W,0,167,189,0.0219,0.0135,0.000,0.000,0.000,60.788,0.000,0.000,0.000,0.000,W,0,0.000,60.788,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,62,27,-45,9,MAIN,W,0,167,187,0.0215,0.0132,0.000,0.000,0.000,60.322,0.000,0.000,0.000,0.000,W,0,0.000,60.322,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,65,30,-42,10,MAIN,W,0,165,186,0.0210,0.0114,0.000,0.000,0.000,57.756,0.000,0.000,0.000,0.000,W,0,0.000,57.756,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,68,33,-39,11,MAIN,W,0,164,184,0.0216,0.0113,0.000,0.000,0.000,56.519,0.000,0.000,0.000,0.000,W,0,0.000,56.519,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,71,36,-36,12,MAIN,W,0,163,182,0.0223,0.0124,0.000,0.000,0.000,55.264,0.000,0.000,0.000,0.000,W,0,0.000,55.264,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,74,39,-33,13,MAIN,W,0,161,178,0.0217,0.0131,0.000,0.000,0.000,50.908,0.000,0.000,0.000,0.000,W,0,0.000,50.908,0.000,0.000,0.000,0.000
P135_COMBO_TABLE3,MARLIN,B047545R,2389,COMET,CMPM00SD-0,?,2023-03-31,2023-04-13 03:37:28,Apr 13 2023-03:27:42,101,26,1,2,PRODUCTION,0,16,128154,0,77,42,-30,14,MAIN,W,0,161,178,0.0218,0.0112,0.000,0.000,0.000,48.467,0.000,0.000,0.000,0.000,W,0,0.000,48.467,0.000,0.000,0.000,0.000
